ID,site,date,month,season,temp,latitude,longitude,species,SL ,FL,TL,weight_tot,Gutted_weight,Fult_K,FG_ww,HGC_ww,gut_full,GSI,scaledig_1,scaledig_2,scaledig_3,scaledig_4,perc_Gigartinales,perc_Ceramiales,perc_Laminariales,perc_sponge,perc_Balliales,perc_Sphacelariales,perc_Ulvales,perc_Amphipoda,Soft Bryozoan,Fine Brown aglae,Red Tube,perc_Bryopsidales,perc_crustacean,perc_Fucales,perc_Halymeniales,perc_Cladophorales,perc_Ectocarpales,perc_Rhodymeniales,perc_Hydroid.Colony,perc_Corallinales,perc_Gracilariales,perc_Gelidiales
s10101,South Cape Bay,1/3/2022,Mar,Autumn,18.5,43.3727,146.4715,Aplodactylus arctidens,425,430,500,2235,1883.35,1.79,2.65,349,5,15.73,5,3,3,3,65.4,18.3,7,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10102,South Cape Bay,1/3/2022,Mar,Autumn,18.5,43.3727,146.4715,Aplodactylus arctidens,400,405,460,1571,1492,1.61,0,79,3,5.03,3,2,2,2,56.98,24,0.3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10103,South Cape Bay,1/3/2022,Mar,Autumn,18.5,43.3727,146.4715,Aplodactylus arctidens,440,460,520,2728,2411,1.94,0,317,5,11.62,5,5,4,3,42,23,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10104,South Cape Bay,1/3/2022,Mar,Autumn,18.5,43.3727,146.4715,Aplodactylus arctidens,395,445,470,1859,1696,1.79,0,163,3,8.77,3,3,2,2,16,35,26,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10105,South Cape Bay,1/3/2022,Mar,Autumn,18.5,43.3727,146.4715,Aplodactylus arctidens,405,463,490,2070,1891,1.76,15,164,3,8.65,3,4,4,4,23,8,22,16,0,22,2,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0
s10106,South Cape Bay,1/3/2022,Mar,Autumn,18.5,43.3727,146.4715,Aplodactylus arctidens,394,442,458,1750,1543,1.82,34,173,4,11.83,4,4,2,2,40,11,44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10107,South Cape Bay,1/3/2022,Mar,Autumn,18.5,43.3727,146.4715,Aplodactylus arctidens,410,473,494,1970,1796,1.63,9,165,3,8.83,3,3,2,2,43.9,19,28,7,0,0.5,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10108,South Cape Bay,1/3/2022,Mar,Autumn,18.5,43.3727,146.4715,Aplodactylus arctidens,425,470,500,1941,1764.4,1.55,0.6,176,3,9.1,3,2,2,2,70,18,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
s10109,South Cape Bay,1/3/2022,Mar,Autumn,18.5,43.3727,146.4715,Aplodactylus arctidens,415,462,490,1675,1548,1.42,8,119,2,7.58,4,3,2,4,32,42,22,3,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10110,South Cape Bay,1/3/2022,Mar,Autumn,18.5,43.3727,146.4715,Aplodactylus arctidens,403,452,470,1756,1602.6,1.69,1.4,152,3,8.74,3,3,4,3,5,37,32,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s30101,Bicheno,12/3/2022,Mar,Autumn,18,41.8707,148.3079,Aplodactylus arctidens,397,455,463,1590,1455,1.6,31,104,3,8.49,4,3,2,2,38,3,0,8,5,2,4,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
s30102,Bicheno,12/3/2022,Mar,Autumn,18,41.8707,148.3079,Aplodactylus arctidens,315,345,360,1074,1010,2.3,19,45,2,5.96,2,2,1,1,56,18,0,0,1,0,18,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0
s30103,Bicheno,12/3/2022,Mar,Autumn,18,41.8707,148.3079,Aplodactylus arctidens,360,405,415,1241,1141,1.74,29,71,2,8.06,2,1,1,1,41,37,0.4,3,8,0,4,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0
s30104,Bicheno,12/3/2022,Mar,Autumn,18,41.8707,148.3079,Aplodactylus arctidens,370,415,435,1474,1325,1.79,12,137,4,10.11,3,3,2,2,10,35,0,5,2,0,28,0,0,9,3,8,0,0,0,0,0,0,0,0,0,0
s30105,Bicheno,12/3/2022,Mar,Autumn,18,41.8707,148.3079,Aplodactylus arctidens,295,340,350,783,713,1.83,17,53,2,8.94,4,3,2,2,60,19,0.5,0,0,0,11,0,0,6,0,7,0.2,0,0,0,0,0,0,0,0,0
s30101hc,Bicheno,12/3/2022,Mar,Autumn,18,41.8707,148.3079,Olisthops cyanomelas,405,457,490,1205,1072,1.02,5,128,4,11.04,2,1,1,1,0,12,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s30102hc,Bicheno,12/3/2022,Mar,Autumn,18,41.8707,148.3079,Olisthops cyanomelas,280,320,365,382,366.95,0.79,1.05,14,1,3.94,1,1,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s30103hc,Bicheno,12/3/2022,Mar,Autumn,18,41.8707,148.3079,Olisthops cyanomelas,180,210,230,119,112.8,0.98,1.12,5.08,2,5.21,3,3,2,2,0,4,41,0,0,44,3,0.2,0,0,0,0,7,0,0,0.6,0,0,0,0,0,0
s30104hc,Bicheno,12/3/2022,Mar,Autumn,18,41.8707,148.3079,Olisthops cyanomelas,275,296,320,381,365.09,1.16,2.91,13,2,4.18,2,1,1,1,0,0,73,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20101,South Bruny Island,4/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,400,448,468,1630,1456,1.59,46,128,3,10.67,4,3,3,3,31,64,25,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20102,South Bruny Island,4/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,460,510,540,3186,2595,2.02,84,507,6,18.55,5,5,4,4,5,0,92,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20103,South Bruny Island,4/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,415,465,490,1790,1571,1.52,46,173,3,12.23,5,5,4,4,2,47,2,27,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0
s20104,South Bruny Island,4/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,478,515,540,2159,1921,1.37,37,201,4,11.02,5,4,4,3,51,43,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20105,South Bruny Island,4/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,372,410,444,1441,1283,1.65,37,121,4,10.96,5,4,3,3,57,23,0,25,0,0,0,0,0,0,0,0.6,0,17,0,0,0,0,0,0,0,0
s20106,South Bruny Island,4/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,430,495,510,2188,1962,1.65,0,226,3,10.33,4,3,2,2,33,15,0,43,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
s20107,South Bruny Island,4/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,360,405,422,1162,1096,1.55,18,48,3,5.68,4,3,3,2,45,20,0.5,6,0,21,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
s20108,South Bruny Island,4/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,505,554,575,2874,2455,1.51,52,367,6,14.58,4,4,3,3,3,6,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20109,South Bruny Island,4/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,447,498,525,2448,2096,1.69,79,273,5,14.38,5,4,3,2,5,5,0,16,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0
s20110,South Bruny Island,4/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,425,472,492,1962,1810,1.65,0,152,3,7.75,5,5,4,4,10,3,0,7,0,0,0,0,0,0,0,0,0,3,76,0,0,0,0,0,0,0
s20201,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,525,580,600,4225,3284,1.96,118,823,6,22.27,6,5,5,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s20202,South Bruny Island,13/5/2022,May,Autumn,17,43.3317,147.3749,Aplodactylus arctidens,370,415,435,1120,980,1.36,44,96,3,12.5,4,3,3,2,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.3,0,0,0,0
